property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,bestech park view residency,sector 2,0.56,8629,1,1,2,6,Moderately Old,723,0,0,0,0,0,0,77,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 14,4.15,18444,5,4,2,2,Old Property,2250,0,0,0,0,0,1,51,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,m3m merlin,sector 67,3.4,14419,3,4,3,17,Relatively New,2134,0,1,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,dlf the ultima,sector 81,2.3,10937,3,3,3+,19,Relatively New,1617,1,1,0,1,1,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
house,independent,sector 25,7.6,38756,2,9,3,4,Relatively New,1961,1,0,1,1,0,1,84,"28.4844° N, 77.0860° E",28.4844,77.086
flat,rof ananda,sector 95,0.32,5735,2,2,1,10,Relatively New,610,0,0,0,1,0,1,50,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,rof aalayas,sector 102,0.45,6000,1,1,2,6,Relatively New,750,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
house,independent,sector 56,2.99,20635,4,4,2,2,Moderately Old,1449,1,1,0,1,0,1,49,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,ats tourmaline,sector 109,1.5,6977,3,4,3+,4,Relatively New,1797,0,1,0,0,0,0,39,"28.5073° N, 77.0089° E",28.5073,77.0089
house,dlf south city 1,sector 41,2.65,18929,3,3,3,4,New Property,1400,0,1,0,0,0,1,22,"28.4557° N, 77.0632° E",28.4557,77.0632
house,bhim garh kheri,sector 3,1.5,7576,7,2,0,1,Moderately Old,1980,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,dlf the skycourt,sector 86,1.5,7895,3,3,1,16,Relatively New,1719,0,0,0,0,1,0,49,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,central park resorts,sector 48,9.3,24926,4,4,3+,10,Moderately Old,3831,1,1,1,1,0,1,67,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,ss the leaf,sector 83,1.19,7225,2,2,3,4,Relatively New,1630,0,0,0,0,0,0,49,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,signature global solera,sector 107,0.5,4762,3,2,2,5,Relatively New,850,0,0,0,0,1,0,35,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,hero homes,sector 104,1.4,15819,3,2,2,4,Under Construction,1120,0,0,0,0,0,0,49,"28.4788° N, 76.9960° E",28.4788,76.996
flat,godrej oasis,sector 88a,1,6897,2,2,3,7,Relatively New,1611,1,0,0,0,0,0,72,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,orris carnation residency,sector 85,0.9,6429,3,3,2,12,Relatively New,1402,0,0,0,0,0,0,120,"28.4042° N, 76.9513° E",28.4042,76.9513
house,independent,sector 105,0.5,5556,2,2,0,1,Moderately Old,100,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,vatika gurgaon,sector 83,1.15,5808,3,3,2,3,Relatively New,1350,1,1,1,1,0,1,165,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,tulip violet,sector 69,1.36,8619,3,3,2,12,Relatively New,1428,0,0,0,1,0,1,49,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667,2,2,3,0,Relatively New,1286,0,0,0,0,0,0,80,"28.4750° N, 76.9715° E",28.475,76.9715
house,independent,sector 55,2.8,18667,4,4,0,2,Old Property,1500,0,0,0,0,0,0,0,"28.4281° N, 77.1100° E",28.4281,77.11
house,unitech espace,sector 50,10.45,32253,5,7,3+,3,Moderately Old,3240,1,1,0,1,1,1,153,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,pivotal devaan,sector 84,0.34,7039,2,2,1,1,Relatively New,537,0,0,1,0,0,1,84,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,pivotal devaan apartments,sector 84,0.39,6500,2,2,0,5,Relatively New,549,0,0,0,0,0,0,0,"28.3979° N, 76.9736° E",28.3979,76.9736
house,independent,sector 4,1.1,11111,3,4,1,2,Moderately Old,990,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,tarc maceo,sector 91,1.75,11118,4,3,3+,8,Relatively New,2107,1,1,1,1,0,0,128,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,vatika city,sector 49,2.1,10417,3,3,3,9,Moderately Old,1604.25,0,0,0,1,0,1,132,"28.4121° N, 77.0480° E",28.4121,77.048
flat,central park resorts,sector 48,3.65,15240,3,3,3+,9,Relatively New,2395,0,0,0,0,1,1,157,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,tulip violet,sector 69,1.29,8227,3,3,1,12,Relatively New,1419,0,0,0,1,0,1,86,"28.3966° N, 77.0341° E",28.3966,77.0341
house,suncity avenue 76,sector 76,0.75,10067,2,2,2,11,New Property,745,0,0,0,0,0,0,40,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,dlf the primus,sector 82a,1.85,10283,3,3,3+,2,Relatively New,1668,0,0,0,0,0,1,44,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,umang monsoon breeze,sector 78,0.7,5719,2,2,2,5,Moderately Old,1224,0,0,0,0,0,0,0,"28.3733° N, 76.9729° E",28.3733,76.9729
flat,rof ananda,sector 95,0.32,5829,2,2,1,9,Relatively New,610,0,0,0,1,0,1,71,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,the crew bos chs manesar,manesar,0.85,3696,3,3,2,2,Moderately Old,2556,0,0,0,0,0,0,44,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,spaze privvy the address,sector 93,1.25,5700,4,4,3,16,Relatively New,2105,0,0,0,0,0,0,0,"28.4153° N, 76.9326° E",28.4153,76.9326
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889,2,2,1,3,Relatively New,1000,0,0,0,0,0,0,70,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,chd avenue,sector 71,0.79,6594,2,2,2,8,Relatively New,1084,0,0,0,0,1,0,0,"28.4104° N, 77.0281° E",28.4104,77.0281
house,independent,sector 25,10,37037,5,5,3+,3,Moderately Old,9500,0,1,0,1,0,2,29,"28.4844° N, 77.0860° E",28.4844,77.086
flat,park royal apartment,sector 56,1.71,7600,3,3,3+,5,Moderately Old,2251,0,1,0,0,0,1,118,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,mahindra aura,sector 110,1.4,9655,3,3,3,10,Relatively New,1550,0,0,0,0,0,1,142,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,ireo victory valley,sector 67,3.65,13529,3,4,3+,18,Relatively New,2490,0,1,0,1,0,1,61,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,signature global solera,sector 107,0.6,8000,3,2,2,8,Relatively New,750,0,0,0,0,0,0,55,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,tulip violet,sector 69,1.44,9125,3,3,2,1,Relatively New,1381,0,0,0,1,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,m3m capital,sector 113,2.37,11499,4,4,3+,20,Under Construction,2060,1,0,0,0,0,0,143,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,zara aavaas,sector 104,0.2,6645,1,2,2,3,New Property,334,0,0,0,0,0,0,67,"28.4788° N, 76.9960° E",28.4788,76.996
flat,godrej nature plus,sector 33,1.5,10197,2,2,3+,2,Under Construction,1539,0,0,0,0,0,0,87,"28.4420° N, 77.0207° E",28.442,77.0207
